img,IQR,rank
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50002/mri/mwp1T1W.nii,83.47%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50003/mri/mwp1T1W.nii,80.47%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50004/mri/mwp1T1W.nii,84.20%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50005/mri/mwp1T1W.nii,82.62%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50006/mri/mwp1T1W.nii,84.29%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50007/mri/mwp1T1W.nii,81.50%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50008/mri/mwp1T1W.nii,84.39%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50009/mri/mwp1T1W.nii,84.62%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50010/mri/mwp1T1W.nii,84.89%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50011/mri/mwp1T1W.nii,84.50%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50012/mri/mwp1T1W.nii,84.20%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50013/mri/mwp1T1W.nii,81.52%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50014/mri/mwp1T1W.nii,84.19%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50015/mri/mwp1T1W.nii,79.69%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50016/mri/mwp1T1W.nii,82.99%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50017/mri/mwp1T1W.nii,69.97%,D+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50019/mri/mwp1T1W.nii,83.64%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50020/mri/mwp1T1W.nii,79.38%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50022/mri/mwp1T1W.nii,81.71%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50023/mri/mwp1T1W.nii,83.38%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50024/mri/mwp1T1W.nii,84.46%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50025/mri/mwp1T1W.nii,83.78%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50026/mri/mwp1T1W.nii,82.16%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50027/mri/mwp1T1W.nii,84.52%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50028/mri/mwp1T1W.nii,83.95%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50029/mri/mwp1T1W.nii,84.29%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50030/mri/mwp1T1W.nii,83.95%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50031/mri/mwp1T1W.nii,81.88%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50032/mri/mwp1T1W.nii,83.39%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50033/mri/mwp1T1W.nii,81.91%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50034/mri/mwp1T1W.nii,83.22%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50035/mri/mwp1T1W.nii,84.33%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50036/mri/mwp1T1W.nii,82.51%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50037/mri/mwp1T1W.nii,83.72%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50038/mri/mwp1T1W.nii,83.96%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50039/mri/mwp1T1W.nii,83.05%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50040/mri/mwp1T1W.nii,83.86%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50041/mri/mwp1T1W.nii,84.33%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50042/mri/mwp1T1W.nii,83.54%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50043/mri/mwp1T1W.nii,83.44%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50044/mri/mwp1T1W.nii,83.09%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50045/mri/mwp1T1W.nii,82.71%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50046/mri/mwp1T1W.nii,85.11%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50047/mri/mwp1T1W.nii,83.22%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50048/mri/mwp1T1W.nii,82.25%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50049/mri/mwp1T1W.nii,84.08%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50050/mri/mwp1T1W.nii,82.89%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50051/mri/mwp1T1W.nii,82.57%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50052/mri/mwp1T1W.nii,83.92%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50053/mri/mwp1T1W.nii,80.43%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50054/mri/mwp1T1W.nii,83.14%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50055/mri/mwp1T1W.nii,83.73%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50056/mri/mwp1T1W.nii,83.40%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50057/mri/mwp1T1W.nii,83.53%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50058/mri/mwp1T1W.nii,81.54%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50059/mri/mwp1T1W.nii,84.02%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50060/mri/mwp1T1W.nii,84.64%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50102/mri/mwp1T1W.nii,82.26%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50103/mri/mwp1T1W.nii,79.47%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50104/mri/mwp1T1W.nii,85.34%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50105/mri/mwp1T1W.nii,83.55%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50106/mri/mwp1T1W.nii,81.29%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50107/mri/mwp1T1W.nii,83.35%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50108/mri/mwp1T1W.nii,84.33%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50109/mri/mwp1T1W.nii,81.64%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50110/mri/mwp1T1W.nii,69.51%,D+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50111/mri/mwp1T1W.nii,82.39%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50112/mri/mwp1T1W.nii,84.56%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50113/mri/mwp1T1W.nii,84.59%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50114/mri/mwp1T1W.nii,84.42%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50115/mri/mwp1T1W.nii,84.68%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50116/mri/mwp1T1W.nii,83.46%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50117/mri/mwp1T1W.nii,82.44%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50118/mri/mwp1T1W.nii,84.59%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50119/mri/mwp1T1W.nii,84.92%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50120/mri/mwp1T1W.nii,77.92%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50121/mri/mwp1T1W.nii,82.09%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50122/mri/mwp1T1W.nii,74.30%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50123/mri/mwp1T1W.nii,82.89%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50124/mri/mwp1T1W.nii,82.52%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50125/mri/mwp1T1W.nii,83.93%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50126/mri/mwp1T1W.nii,74.86%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50127/mri/mwp1T1W.nii,83.56%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50128/mri/mwp1T1W.nii,82.69%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50129/mri/mwp1T1W.nii,81.13%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50130/mri/mwp1T1W.nii,85.72%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50131/mri/mwp1T1W.nii,84.02%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50132/mri/mwp1T1W.nii,82.71%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50133/mri/mwp1T1W.nii,69.04%,D+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50134/mri/mwp1T1W.nii,83.90%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50135/mri/mwp1T1W.nii,81.33%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50136/mri/mwp1T1W.nii,69.98%,D+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50137/mri/mwp1T1W.nii,82.59%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50145/mri/mwp1T1W.nii,84.43%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50146/mri/mwp1T1W.nii,84.57%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50147/mri/mwp1T1W.nii,85.44%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50148/mri/mwp1T1W.nii,84.94%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50149/mri/mwp1T1W.nii,85.09%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50150/mri/mwp1T1W.nii,84.77%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50152/mri/mwp1T1W.nii,84.38%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50153/mri/mwp1T1W.nii,84.42%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50155/mri/mwp1T1W.nii,82.61%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50156/mri/mwp1T1W.nii,84.62%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50157/mri/mwp1T1W.nii,85.64%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50158/mri/mwp1T1W.nii,85.08%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50159/mri/mwp1T1W.nii,84.60%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50160/mri/mwp1T1W.nii,85.12%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50161/mri/mwp1T1W.nii,85.01%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50162/mri/mwp1T1W.nii,85.22%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50163/mri/mwp1T1W.nii,83.84%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50164/mri/mwp1T1W.nii,84.96%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50165/mri/mwp1T1W.nii,84.87%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50166/mri/mwp1T1W.nii,84.52%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50167/mri/mwp1T1W.nii,84.73%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50168/mri/mwp1T1W.nii,84.73%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50169/mri/mwp1T1W.nii,80.70%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50170/mri/mwp1T1W.nii,82.95%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50171/mri/mwp1T1W.nii,80.91%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50182/mri/mwp1T1W.nii,71.43%,C-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50183/mri/mwp1T1W.nii,81.84%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50184/mri/mwp1T1W.nii,81.05%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50185/mri/mwp1T1W.nii,63.23%,D-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50186/mri/mwp1T1W.nii,73.98%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50187/mri/mwp1T1W.nii,83.76%,B
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50188/mri/mwp1T1W.nii,78.64%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50189/mri/mwp1T1W.nii,77.50%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50190/mri/mwp1T1W.nii,72.10%,C-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50191/mri/mwp1T1W.nii,74.64%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50192/mri/mwp1T1W.nii,71.97%,C-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50193/mri/mwp1T1W.nii,81.22%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50194/mri/mwp1T1W.nii,80.29%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50195/mri/mwp1T1W.nii,79.19%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50196/mri/mwp1T1W.nii,79.22%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50197/mri/mwp1T1W.nii,73.63%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50198/mri/mwp1T1W.nii,77.27%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50199/mri/mwp1T1W.nii,82.93%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50200/mri/mwp1T1W.nii,77.34%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50201/mri/mwp1T1W.nii,75.27%,C
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50202/mri/mwp1T1W.nii,79.08%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50203/mri/mwp1T1W.nii,82.62%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50204/mri/mwp1T1W.nii,77.47%,C+
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50205/mri/mwp1T1W.nii,83.13%,B-
/data/datasets/Preprocessing/ABIDE_T1/ABIDE_T1_pred/50206/mri/mwp1T1W.nii,78.82%,C+
