img,IQR,rank
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/10/mri/mwp1bl.nii,NA,NA
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/10/mri/mwp1m06.nii,82.20%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/10/mri/mwp1m12.nii,82.18%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/10/mri/mwp1m24.nii,82.25%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1001/mri/mwp1bl.nii,81.07%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1001/mri/mwp1m06.nii,79.51%,C+
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1001/mri/mwp1m12.nii,80.95%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1bl.nii,82.09%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m06.nii,82.03%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m12.nii,82.04%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m24.nii,82.00%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m30.nii,82.00%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m36.nii,82.14%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1002/mri/mwp1m42.nii,82.14%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1bl.nii,81.73%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1m06.nii,81.97%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1m12.nii,82.02%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1m18.nii,81.78%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1m60.nii,80.75%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1004/mri/mwp1m72.nii,78.64%,C+
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1bl.nii,81.67%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m06.nii,81.55%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m12.nii,81.36%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m18.nii,81.82%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m24.nii,81.47%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m30.nii,81.12%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m36.nii,81.12%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1007/mri/mwp1m60.nii,81.20%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1bl.nii,85.26%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m06.nii,84.78%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m12.nii,85.31%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m18.nii,84.53%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m24.nii,84.95%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m30.nii,84.84%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m36.nii,84.84%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m48.nii,83.53%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/101/mri/mwp1m72.nii,85.99%,B
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1bl.nii,81.95%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m06.nii,81.85%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m12.nii,81.60%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m18.nii,81.75%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m24.nii,81.81%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m30.nii,81.81%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m36.nii,82.00%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m42.nii,82.00%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1010/mri/mwp1m48.nii,81.80%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1013/mri/mwp1bl.nii,81.10%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1013/mri/mwp1m06.nii,81.35%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1014/mri/mwp1bl.nii,80.72%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1014/mri/mwp1m06.nii,80.94%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1014/mri/mwp1m12.nii,80.94%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1014/mri/mwp1m18.nii,81.46%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1014/mri/mwp1m24.nii,81.46%,B-
/data/datasets/ADNI/ADNI_T1_Fixed_20210719/1015/mri/mwp1bl.nii,85.07%,B
