img,IQR,rank
/data/datasets/AIBL/AIBL_pre/10/mri/mwp1m18.nii,84.32%,B
/data/datasets/AIBL/AIBL_pre/100/mri/mwp1bl.nii,84.74%,B
/data/datasets/AIBL/AIBL_pre/1000/mri/mwp1bl.nii,84.76%,B
/data/datasets/AIBL/AIBL_pre/1000/mri/mwp1m54.nii,84.48%,B
/data/datasets/AIBL/AIBL_pre/1001/mri/mwp1bl.nii,82.69%,B-
/data/datasets/AIBL/AIBL_pre/1001/mri/mwp1m54.nii,83.22%,B-
/data/datasets/AIBL/AIBL_pre/1005/mri/mwp1bl.nii,85.47%,B
/data/datasets/AIBL/AIBL_pre/101/mri/mwp1m18.nii,84.04%,B
/data/datasets/AIBL/AIBL_pre/101/mri/mwp1m36.nii,84.01%,B
/data/datasets/AIBL/AIBL_pre/101/mri/mwp1m54.nii,84.09%,B
/data/datasets/AIBL/AIBL_pre/101/mri/mwp1m54.nii,83.86%,B
/data/datasets/AIBL/AIBL_pre/1013/mri/mwp1m18.nii,84.82%,B
/data/datasets/AIBL/AIBL_pre/1013/mri/mwp1m36.nii,84.23%,B
/data/datasets/AIBL/AIBL_pre/102/mri/mwp1bl.nii,85.13%,B
/data/datasets/AIBL/AIBL_pre/102/mri/mwp1m18.nii,84.88%,B
/data/datasets/AIBL/AIBL_pre/102/mri/mwp1m36.nii,85.02%,B
/data/datasets/AIBL/AIBL_pre/102/mri/mwp1m54.nii,84.81%,B
/data/datasets/AIBL/AIBL_pre/102/mri/mwp1m54.nii,84.52%,B
/data/datasets/AIBL/AIBL_pre/1024/mri/mwp1bl.nii,81.70%,B-
/data/datasets/AIBL/AIBL_pre/1025/mri/mwp1bl.nii,83.25%,B-
/data/datasets/AIBL/AIBL_pre/1027/mri/mwp1bl.nii,84.06%,B
/data/datasets/AIBL/AIBL_pre/1032/mri/mwp1bl.nii,84.59%,B
/data/datasets/AIBL/AIBL_pre/1032/mri/mwp1m18.nii,83.13%,B-
/data/datasets/AIBL/AIBL_pre/104/mri/mwp1m18.nii,83.51%,B
/data/datasets/AIBL/AIBL_pre/104/mri/mwp1m36.nii,79.09%,C+
/data/datasets/AIBL/AIBL_pre/1046/mri/mwp1bl.nii,78.73%,C+
/data/datasets/AIBL/AIBL_pre/1049/mri/mwp1bl.nii,67.95%,D+
/data/datasets/AIBL/AIBL_pre/105/mri/mwp1bl.nii,84.60%,B
/data/datasets/AIBL/AIBL_pre/105/mri/mwp1m18.nii,84.14%,B
/data/datasets/AIBL/AIBL_pre/105/mri/mwp1m36.nii,81.98%,B-
/data/datasets/AIBL/AIBL_pre/105/mri/mwp1m54.nii,84.65%,B
/data/datasets/AIBL/AIBL_pre/105/mri/mwp1m54.nii,84.49%,B
/data/datasets/AIBL/AIBL_pre/1050/mri/mwp1m18.nii,82.06%,B-
/data/datasets/AIBL/AIBL_pre/1050/mri/mwp1m36.nii,81.32%,B-
/data/datasets/AIBL/AIBL_pre/1050/mri/mwp1m54.nii,82.06%,B-
/data/datasets/AIBL/AIBL_pre/1050/mri/mwp1m54.nii,81.37%,B-
/data/datasets/AIBL/AIBL_pre/1056/mri/mwp1bl.nii,83.45%,B
/data/datasets/AIBL/AIBL_pre/1067/mri/mwp1bl.nii,84.22%,B
/data/datasets/AIBL/AIBL_pre/1067/mri/mwp1m18.nii,82.99%,B-
/data/datasets/AIBL/AIBL_pre/1067/mri/mwp1m36.nii,84.16%,B
/data/datasets/AIBL/AIBL_pre/1067/mri/mwp1m54.nii,84.49%,B
/data/datasets/AIBL/AIBL_pre/107/mri/mwp1bl.nii,85.03%,B
/data/datasets/AIBL/AIBL_pre/1078/mri/mwp1bl.nii,84.50%,B
/data/datasets/AIBL/AIBL_pre/1089/mri/mwp1m18.nii,84.90%,B
/data/datasets/AIBL/AIBL_pre/109/mri/mwp1m36.nii,84.90%,B
/data/datasets/AIBL/AIBL_pre/109/mri/mwp1m54.nii,84.50%,B
/data/datasets/AIBL/AIBL_pre/109/mri/mwp1m54.nii,84.57%,B
/data/datasets/AIBL/AIBL_pre/1090/mri/mwp1bl.nii,84.52%,B
/data/datasets/AIBL/AIBL_pre/1090/mri/mwp1m18.nii,84.28%,B
