img,IQR,rank
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s016/ses-1/mri/mwp1T1w.nii,82.71%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s025/ses-1/mri/mwp1T1w.nii,85.29%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s030/ses-1/mri/mwp1T1w.nii,86.26%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s034/ses-1/mri/mwp1T1w.nii,86.12%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s044/ses-1/mri/mwp1T1w.nii,85.87%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s047/ses-1/mri/mwp1T1w.nii,86.27%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s056/ses-1/mri/mwp1T1w.nii,86.61%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s057/ses-1/mri/mwp1T1w.nii,86.49%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s059/ses-1/mri/mwp1T1w.nii,85.95%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s071/ses-1/mri/mwp1T1w.nii,84.20%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s072/ses-1/mri/mwp1T1w.nii,86.42%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s078/ses-1/mri/mwp1T1w.nii,86.43%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s079/ses-1/mri/mwp1T1w.nii,84.51%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s080/ses-1/mri/mwp1T1w.nii,86.53%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s082/ses-1/mri/mwp1T1w.nii,81.23%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r005s084/ses-1/mri/mwp1T1w.nii,86.23%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r014s001/ses-1/mri/mwp1T1w.nii,81.95%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r014s007/ses-1/mri/mwp1T1w.nii,86.23%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r014s012/ses-1/mri/mwp1T1w.nii,84.71%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r014s013/ses-1/mri/mwp1T1w.nii,86.10%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s002/ses-1/mri/mwp1T1w.nii,79.88%,C+
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s003/ses-1/mri/mwp1T1w.nii,82.51%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s004/ses-1/mri/mwp1T1w.nii,71.10%,C-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s005/ses-1/mri/mwp1T1w.nii,84.96%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s007/ses-1/mri/mwp1T1w.nii,83.17%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s012/ses-1/mri/mwp1T1w.nii,85.99%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s013/ses-1/mri/mwp1T1w.nii,82.34%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s014/ses-1/mri/mwp1T1w.nii,83.94%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s017/ses-1/mri/mwp1T1w.nii,84.66%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s022/ses-1/mri/mwp1T1w.nii,76.33%,C
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r015s024/ses-1/mri/mwp1T1w.nii,82.22%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s101/ses-1/mri/mwp1T1w.nii,83.08%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s103/ses-1/mri/mwp1T1w.nii,83.06%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s107/ses-1/mri/mwp1T1w.nii,84.24%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s108/ses-1/mri/mwp1T1w.nii,85.95%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s109/ses-1/mri/mwp1T1w.nii,84.26%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s111/ses-1/mri/mwp1T1w.nii,80.72%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s113/ses-1/mri/mwp1T1w.nii,82.79%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r017s121/ses-1/mri/mwp1T1w.nii,76.24%,C
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r018s002/ses-1/mri/mwp1T1w.nii,73.10%,C-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r018s003/ses-1/mri/mwp1T1w.nii,86.12%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r018s004/ses-1/mri/mwp1T1w.nii,83.27%,B-
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r018s005/ses-1/mri/mwp1T1w.nii,85.61%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r018s006/ses-1/mri/mwp1T1w.nii,85.25%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r019s002/ses-1/mri/mwp1T1w.nii,83.69%,B
/data/datasets/Preprocessing/ATLAS_2/ATLAS_2_pred/Testing/sub-r019s003/ses-1/mri/mwp1T1w.nii,86.49%,B
